Year,Job Count,Category,Code,Occupation,Sectors,Change.Number
2026,"6,293.60",Green Enhanced Skills,49-9071.00,"Maintenance and Repair Workers, General",Environment Protection,
2026,"6,293.60",Green Enhanced Skills,49-9071.00,"Maintenance and Repair Workers, General",Environment Protection,
2026,"6,293.60",Green Enhanced Skills,49-9071.00,"Maintenance and Repair Workers, General",Green Construction,
2026,"6,293.60",Green Enhanced Skills,49-9071.00,"Maintenance and Repair Workers, General",Green Construction,
2026,"6,293.60",Green Enhanced Skills,49-9071.00,"Maintenance and Repair Workers, General",Manufacturing,
2026,"6,293.60",Green Enhanced Skills,49-9071.00,"Maintenance and Repair Workers, General",Manufacturing,
2026,"6,293.60",Green Enhanced Skills,49-9071.00,"Maintenance and Repair Workers, General",Renewable Energy Generation,
2026,"6,293.60",Green Enhanced Skills,49-9071.00,"Maintenance and Repair Workers, General",Renewable Energy Generation,
2026,31.3,Green Increased Demand,47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall",Efficiency,
2026,31.3,Green Increased Demand,47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall",Green Construction,
2026,48.1,Green New & Emerging,47-4099.02,Solar Thermal Installers and Technicians,Renewable Energy Generation,
2026,48.1,Green New & Emerging,47-4099.03,Weatherization Installers and Technicians,Efficiency,
2026,65.2,Green Increased Demand,51-2041.00,Structural Metal Fabricators and Fitters,Manufacturing,
2026,65.2,Green Increased Demand,51-2041.00,Structural Metal Fabricators and Fitters,Manufacturing,
2026,65.2,Green Increased Demand,51-2041.00,Structural Metal Fabricators and Fitters,Green Construction,
2026,65.2,Green Increased Demand,51-2041.00,Structural Metal Fabricators and Fitters,Green Construction,
2026,194.7,Green New & Emerging,49-9099.01,Geothermal Technicians,Renewable Energy Generation,
2026,106.7,Green Increased Demand,43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance",Transportation,
2026,162.4,Green Enhanced Skills,47-2181.00,Roofers,Green Construction,
2026,162.4,Green Enhanced Skills,47-2181.00,Roofers,Green Construction,
2026,147.3,Green Increased Demand,51-4011.00,"Computer-Controlled Machine Tool Operators, Metal and Plastic",Manufacturing,
2026,825.6,Green Enhanced Skills,49-3023.02,Automotive Specialty Technicians,Transportation,
2026,47.3,Green Enhanced Skills,51-9012.00,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",Renewable Energy Generation,
